game_id,team1_total_gold,team2_total_gold,team1_total_kills,team2_total_kills,team1_total_buildings,team2_total_buildings,team1_total_dragons,team2_total_dragons,winner_team
1991346,15098,15913,1,3,0,0,0,0,1
2062818,16442,16321,3,5,0,0,0,0,2
2052020,15260,14920,3,3,0,0,1,0,2
2133546,15140,15325,1,0,0,0,0,1,2
2066073,14378,14702,0,0,0,0,0,1,1
1933162,15420,16562,3,6,0,0,0,0,1
2137714,15322,16085,3,2,0,0,0,0,2
1995959,14783,14955,1,2,0,0,0,0,1
1937675,14559,16483,1,3,0,0,1,0,1
2063219,14344,16756,0,5,0,0,0,0,2
2133603,14897,15805,1,2,0,0,0,1,2
1924149,14623,15862,0,2,0,0,1,0,2
1995888,15786,16214,2,3,0,0,0,1,2
2144390,15232,15703,2,1,0,0,0,0,2
2138075,17120,17820,5,6,0,0,0,0,2
2052036,15344,15625,2,2,0,0,1,0,2
2066084,15959,15699,4,2,0,0,0,0,2
1938103,16657,15651,6,4,0,0,0,1,2
1938123,14434,15814,1,5,0,0,0,0,2
2052455,15108,16323,2,1,0,0,1,0,2
2001847,15532,14031,3,0,0,0,0,1,2
1924080,16890,15202,1,1,0,0,0,1,1
2063292,15931,14388,2,0,0,0,0,1,1
2066462,14737,16575,2,4,0,0,0,1,2
2138098,17075,15961,6,4,0,0,0,1,2
2144420,15155,15485,1,1,0,0,1,0,2
1996427,15129,15979,1,2,0,0,0,0,2
1996472,16791,16370,4,2,0,0,1,0,2
2071843,16005,16225,4,3,0,0,0,0,2
2066114,15143,14503,2,2,0,0,0,0,1
2062846,15733,16511,3,5,0,0,0,0,2
1995945,16841,16220,5,5,0,0,0,0,2
2052416,16646,20772,6,10,0,0,0,1,2
1991386,14963,17777,1,7,0,0,0,0,2
1937556,15636,14262,3,1,0,0,0,0,1
1933217,15624,16154,0,2,0,0,1,0,2
2052476,14694,16042,1,2,0,0,0,0,2
2066419,15927,14340,4,1,0,0,1,0,1
2137700,16494,14249,3,0,0,0,0,1,1
1938031,14611,16013,1,3,0,0,0,1,2
2138111,15980,13999,3,0,0,0,0,1,1
2063330,15721,15601,3,2,0,0,0,0,2
1933321,15652,17398,3,6,0,0,1,0,1
1996552,15451,15262,2,2,0,0,1,0,1
2001928,15552,17724,3,4,0,1,0,0,2
1995133,15410,14687,2,0,0,0,1,0,2
1933285,15433,15120,1,1,0,0,0,0,2
1995095,15211,14252,1,0,0,0,0,1,2
2066370,16327,16253,5,3,0,0,1,0,2
1937630,15744,15540,3,3,0,0,0,1,2
1996449,17561,15476,7,3,0,0,0,1,2
2062880,14704,15555,1,1,0,0,1,0,1
2137725,14980,17639,0,1,0,1,0,1,2
2052442,15353,16913,2,3,0,1,0,1,1
2144469,16628,16740,1,4,1,0,1,0,2
1937655,16261,14370,3,0,0,0,1,0,1
1995930,16738,14488,4,1,0,0,1,0,1
2133619,15299,15596,1,2,0,0,1,0,1
1991312,15529,16340,1,3,0,0,1,0,1
2052114,16779,14764,4,1,0,0,1,0,1
2066097,16683,14802,3,2,0,0,1,0,1
2062800,16517,13671,5,0,0,0,0,0,1
2137679,14334,15543,0,4,0,0,1,0,2
1924242,15949,15164,2,1,0,0,0,1,2
1996513,17238,15549,8,4,0,0,0,1,1
1937537,16316,15098,2,0,0,0,1,0,1
2063273,16286,15034,3,1,0,0,0,0,1
2144356,15093,15306,0,0,0,0,0,1,2
1938075,16536,14231,3,1,0,0,0,1,1
2001970,16040,15443,4,4,0,0,1,0,2
2052433,14981,15688,1,1,0,0,0,1,2
2066398,15813,16854,5,8,0,0,0,0,1
2066441,15902,14158,2,0,0,0,1,0,1
2001895,15013,16425,0,3,0,0,0,0,2
1933304,15925,14528,4,1,0,0,0,1,1
2071861,15364,15027,0,0,0,0,0,1,1
2052057,18532,14315,5,0,1,0,1,0,1
1924039,16198,14762,4,3,0,0,0,0,1
1938058,14357,16363,1,4,0,0,0,0,1
2133592,15237,15976,1,4,0,0,0,1,2
2063243,16808,16289,3,3,1,0,1,0,1
2138052,15597,14436,1,0,0,0,1,0,1
2062834,15966,15792,1,1,0,0,0,1,1
2052084,14716,15300,1,1,0,0,0,0,1
2144451,16206,15054,4,1,0,0,0,1,1
2066052,15250,15376,1,1,0,0,0,1,1
2133635,14352,16101,0,3,0,0,1,0,2
1923979,15144,17518,3,6,0,0,0,1,2
1995918,16391,15178,3,1,0,0,0,0,1
1991367,16577,14322,4,0,0,0,0,0,1
